,Unnamed: 0,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,insured_zip_class,policy_duration_days
10,10,0.3333333333333333,OH,100/300,0.0,-0.013465329016815061,FEMALE,Masters,exec-managerial,dancing,other-relative,0.382089552238806,1.0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,0.9565217391304348,0.0,YES,1.0,0.6666666666666666,Unknown,0.36876456876456876,1.4083850931677018,0.7951943640709523,Ford,F150,0.3500000000000085,0,0.1578947368421053,0.5034812880765883
11,11,1.9166666666666667,OH,100/300,1.0,-0.4886230524286849,FEMALE,High School,exec-managerial,skydiving,other-relative,0.0,0.5409540954095409,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,0.9130434782608695,0.6666666666666667,YES,0.5,0.6666666666666666,YES,0.8242424242424242,1.6972049689440993,1.0,Audi,A3,0.5500000000000114,0,0.9473684210526314,0.6267406440382942
12,12,-1.25,OH,500/1000,0.0,-0.1681907139429295,MALE,MD,protective-serv,reading,wife,0.0,1.0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,0.3913043478260869,0.0,YES,0.5,0.0,NO,0.21958041958041957,0.41459627329192544,0.5323940118253868,Saab,95,0.25,0,0.0,0.6845082680591819
13,13,-0.3333333333333333,OH,100/300,0.3333333333333333,-1.310396779836849,FEMALE,MD,armed-forces,bungie-jumping,wife,0.5253731343283582,0.7047704770477048,Parked Car,No Collision,Minor Damage,,SC,Springfield,6582 Elm Lane,0.21739130434782608,0.0,NO,0.5,0.3333333333333333,NO,0.052214452214452214,-0.8742236024844721,0.06252358787268839,Toyota,Highlander,0.75,0,0.1578947368421053,0.08964316797214969
14,14,0.0,OH,250/500,1.0,0.18326045833230545,FEMALE,College,machine-op-inspct,board-games,not-in-family,0.4109452736318408,0.5004500450045004,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,0.5217391304347826,0.0,NO,0.0,0.6666666666666666,YES,0.1958041958041958,0.2562111801242236,0.4218140646622217,Dodge,Neon,0.4000000000000057,1,0.21052631578947345,0.6399042645778938
15,15,1.6666666666666667,IN,100/300,1.0,-0.5122252297902956,FEMALE,MD,transport-moving,movies,other-relative,0.554228855721393,1.0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,0.5217391304347826,1.0,YES,0.0,0.0,NO,0.49044289044289047,0.5854037267080745,0.5284941502075733,Accura,MDX,0.20000000000000284,1,0.10526315789473673,0.887402088772846
16,16,-1.0,OH,500/1000,0.3333333333333333,-0.23342450970626952,MALE,College,machine-op-inspct,hiking,own-child,0.6328358208955224,1.0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0.0,0.6666666666666667,Unknown,0.5,0.6666666666666666,YES,0.2699300699300699,-0.14906832298136646,0.5089948421185054,Nissan,Maxima,0.8500000000000085,0,0.9473684210526314,0.38794604003481287
17,17,-0.5833333333333334,IN,500/1000,0.0,-2.2445267057268468,MALE,High School,machine-op-inspct,reading,unmarried,0.5323383084577115,1.0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,0.3913043478260869,0.0,NO,0.0,0.6666666666666666,YES,0.6601398601398601,0.05124223602484472,0.7116618442571393,Suburu,Legacy,1.0,0,0.21052631578947345,0.40513489991296775
18,18,-0.08333333333333333,OH,500/1000,0.0,0.4827540596101046,FEMALE,MD,craft-repair,yachting,other-relative,0.4527363184079602,0.6597659765976598,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,0.8260869565217391,0.0,YES,0.5,0.0,NO,0.3090909090909091,1.0108695652173914,0.6663731286954334,Accura,TL,1.0,0,0.21052631578947345,0.0045691906005221935
19,19,0.08333333333333333,IN,500/1000,1.0,0.8987014596061289,FEMALE,High School,handlers-cleaners,camping,own-child,0.5671641791044776,0.7542754275427542,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,0.34782608695652173,0.6666666666666667,Unknown,1.0,0.0,NO,0.2815850815850816,-0.11024844720496894,0.6069945905145301,Nissan,Pathfinder,0.9500000000000028,0,0.21052631578947345,0.8984986945169713
20,20,2.0,IN,250/500,0.3333333333333333,-0.2804649604200353,MALE,JD,other-service,bungie-jumping,own-child,0.0,1.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,0.8695652173913043,0.6666666666666667,NO,0.5,0.0,Unknown,0.0,-0.234472049689441,0.5264813184048308,Suburu,Impreza,0.8000000000000114,0,0.9473684210526314,0.49967362924281983
21,21,0.25,IL,500/1000,1.0,-1.5622352903654242,FEMALE,Associate,machine-op-inspct,skydiving,own-child,0.4646766169154229,1.0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,0.6521739130434783,0.6666666666666667,Unknown,0.5,0.6666666666666666,Unknown,0.0,-0.3136645962732919,0.41564976726632286,Accura,RSX,0.05000000000001137,0,0.052631578947368585,0.3679286335944299
22,22,1.4166666666666667,IL,100/300,1.0,-1.1646451394284305,MALE,High School,prof-specialty,paintball,other-relative,0.7233830845771144,0.38613861386138615,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,0.8695652173913043,0.6666666666666667,NO,0.0,0.0,YES,0.8335664335664336,-0.12267080745341614,0.5989432633035602,Suburu,Forrestor,0.25,1,0.052631578947368585,0.8218015665796344
23,23,1.4166666666666667,IN,100/300,1.0,0.050744066687428195,MALE,MD,priv-house-serv,chess,own-child,0.0,0.7209720972097209,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,0.6521739130434783,0.0,Unknown,1.0,0.6666666666666666,Unknown,0.38135198135198134,1.4922360248447204,0.9252736193231853,Dodge,RAM,0.8000000000000114,1,0.10526315789473673,0.9536553524804178
24,24,0.16666666666666666,IN,100/300,0.3333333333333333,-1.5287988724364758,MALE,College,craft-repair,kayaking,husband,0.0,0.5184518451845184,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,0.2608695652173913,0.0,NO,0.5,1.0,NO,0.3300699300699301,1.1506211180124224,0.7116618442571393,Ford,Escape,0.5,0,0.0,0.7595735422106179
25,25,-0.25,OH,100/300,1.0,0.04308155424537795,MALE,Masters,sales,polo,own-child,0.0,1.0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,0.6956521739130435,0.6666666666666667,NO,0.5,1.0,YES,0.7692307692307693,0.6599378881987578,0.5526481318404831,Ford,Escape,0.5500000000000114,1,0.9473684210526314,0.04569190600522193
26,26,0.4166666666666667,IN,100/300,1.0,0.2691871352894185,MALE,High School,prof-specialty,golf,own-child,0.0,0.7371737173717372,Parked Car,No Collision,Minor Damage,Police,PA,Arlington,2533 Elm St,0.17391304347826086,0.0,YES,0.5,1.0,YES,0.07645687645687646,-0.9208074534161491,0.08164548999874198,Toyota,Camry,0.5,0,0.0,0.9699738903394256
27,27,-0.3333333333333333,IN,100/300,0.0,-1.6731983047668852,MALE,JD,exec-managerial,chess,not-in-family,0.30845771144278605,0.7281728172817281,Vehicle Theft,No Collision,Minor Damage,,VA,Northbrook,3790 Andromedia Hwy,0.21739130434782608,0.0,YES,1.0,0.3333333333333333,Unknown,0.048484848484848485,-0.967391304347826,0.05145301295760474,Suburu,Forrestor,0.4000000000000057,1,0.8947368421052633,0.49782419495213226
28,28,0.16666666666666666,OH,100/300,1.0,0.14462008810314048,FEMALE,JD,sales,kayaking,not-in-family,0.0,0.4995499549954995,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,0.9130434782608695,0.0,NO,0.5,0.0,YES,0.3617715617715618,1.3618012422360248,0.5848534406843628,Dodge,Neon,0.7000000000000028,0,0.8947368421052633,0.9921671018276762
29,29,0.5833333333333334,IL,500/1000,1.0,-0.622450676149207,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0.0,1.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,0.21739130434782608,0.0,NO,1.0,0.6666666666666666,NO,0.6573426573426573,1.141304347826087,0.7973329978613662,Accura,TL,0.8000000000000114,0,0.0,0.04003481288076589
30,30,-1.0833333333333333,IL,250/500,0.3333333333333333,-1.2384838956881916,MALE,Masters,prof-specialty,video-games,husband,0.5293532338308458,1.0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,0.9565217391304348,1.0,NO,0.0,0.0,Unknown,0.5874125874125874,0.9083850931677019,0.6331614039501824,Toyota,Corolla,0.5,0,0.21052631578947345,0.5948651000870322
31,31,-0.08333333333333333,IL,100/300,1.0,0.3313887068778303,MALE,JD,craft-repair,reading,husband,0.27363184079601993,1.0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,0.43478260869565216,0.6666666666666667,NO,1.0,0.6666666666666666,Unknown,0.34778554778554777,0.11024844720496894,0.6560573657063782,Ford,F150,0.5500000000000114,1,0.9473684210526314,0.26816797214969534
32,32,-0.25,IL,500/1000,0.3333333333333333,-0.6886678959692817,FEMALE,Associate,adm-clerical,yachting,other-relative,0.8069651741293533,1.0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,0.6956521739130435,0.6666666666666667,YES,1.0,1.0,NO,0.15431235431235432,-0.5341614906832298,0.2906025915209461,BMW,3 Series,0.6500000000000057,0,0.9473684210526314,0.46181462140992163
33,33,-0.6666666666666666,IL,100/300,0.3333333333333333,1.2369993351225486,MALE,High School,farming-fishing,video-games,wife,0.5114427860696518,0.4239423942394239,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,0.043478260869565216,0.6666666666666667,NO,0.5,0.6666666666666666,Unknown,0.6536130536130537,1.1288819875776397,0.6164297395898856,Suburu,Impreza,1.0,0,0.21052631578947345,0.9067667536988686
34,34,-0.08333333333333333,IL,500/1000,0.0,0.652640565410865,MALE,PhD,prof-specialty,yachting,own-child,0.0,1.0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,0.7391304347826086,0.0,YES,0.0,0.3333333333333333,YES,0.5034965034965035,-0.2096273291925466,0.6105170461693294,Audi,A3,0.20000000000000284,0,0.8947368421052633,0.959094865100087
35,35,-0.4166666666666667,OH,100/300,0.3333333333333333,0.3185632181379277,MALE,High School,craft-repair,reading,not-in-family,0.5303482587064677,0.5571557155715572,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,0.6521739130434783,0.0,YES,1.0,0.0,YES,0.4951048951048951,-0.2236024844720497,0.4667253742609134,Mercedes,C300,0.0,1,0.21052631578947345,0.17950391644908617
36,36,-0.8333333333333334,IL,100/300,0.3333333333333333,-1.0979771835823526,FEMALE,Masters,protective-serv,camping,unmarried,0.0,1.0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,0.13043478260869565,0.0,Unknown,0.5,0.3333333333333333,YES,0.2806526806526807,-0.11335403726708075,0.6049817587117876,Suburu,Forrestor,0.45000000000000284,1,0.0,0.4725848563968668
37,37,0.9166666666666666,IL,500/1000,1.0,-0.13901580025982693,FEMALE,JD,priv-house-serv,golf,unmarried,0.0,1.0,Parked Car,No Collision,Minor Damage,,WV,Arlington,6676 Tree Lane,0.6956521739130435,0.0,NO,0.5,0.3333333333333333,YES,0.057342657342657345,-0.9208074534161491,0.04038243804252108,Suburu,Legacy,0.30000000000001137,0,1.0,0.8745648389904265
38,38,1.3333333333333333,IN,500/1000,1.0,-0.41326818408145966,FEMALE,MD,craft-repair,bungie-jumping,unmarried,0.6537313432835821,1.0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,0.17391304347826086,0.6666666666666667,Unknown,1.0,0.0,Unknown,0.5808857808857809,-0.08074534161490683,0.5477418543212983,Jeep,Wrangler,0.6000000000000085,0,0.9473684210526314,0.4852045256744995
39,39,-0.08333333333333333,IN,250/500,0.0,0.023249169101246154,MALE,JD,tech-support,video-games,wife,0.48258706467661694,1.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,0.17391304347826086,0.0,Unknown,0.0,1.0,NO,0.51002331002331,0.6506211180124224,0.48081519688011076,Nissan,Pathfinder,0.8000000000000114,1,0.21052631578947345,0.6956048738033073
40,40,-1.0,IL,100/300,0.0,0.7999083179067475,MALE,Associate,tech-support,kayaking,not-in-family,0.0,0.49864986498649866,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,0.8260869565217391,0.0,NO,1.0,0.6666666666666666,Unknown,0.372960372960373,-0.42701863354037267,0.3513649515662348,BMW,M5,0.75,0,0.10526315789473673,0.783289817232376
41,41,-0.3333333333333333,IN,250/500,0.0,1.9719858895239568,MALE,Associate,transport-moving,chess,unmarried,0.0,0.783078307830783,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,0.043478260869565216,0.0,Unknown,0.5,0.3333333333333333,Unknown,0.7543123543123543,1.4642857142857142,0.8133098502956347,BMW,X5,0.30000000000001137,1,0.21052631578947345,0.09508268059181897
42,42,-1.25,IL,500/1000,0.0,0.8995209796534073,FEMALE,College,prof-specialty,hiking,husband,0.0,0.39333933393339326,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,0.7391304347826086,0.6666666666666667,YES,0.5,0.0,NO,0.2675990675990676,-0.15683229813664595,0.5045917725500063,Dodge,RAM,0.75,0,0.052631578947368585,0.34845517841601387
43,43,-0.6666666666666666,OH,250/500,0.0,-2.943044618024377,FEMALE,PhD,transport-moving,reading,own-child,0.49452736318407964,0.4581458145814581,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,1.0,0.0,NO,1.0,0.6666666666666666,NO,0.2648018648018648,-0.16614906832298137,0.4993080890678074,Mercedes,E400,0.5,0,0.0,0.47225848563968664
44,44,0.5,IL,100/300,1.0,-0.7184164736854785,MALE,JD,priv-house-serv,reading,unmarried,0.3621890547263682,0.7416741674167417,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,0.6086956521739131,0.0,YES,0.0,0.6666666666666666,Unknown,0.5258741258741259,0.703416149068323,0.4248333123663354,Toyota,Highlander,0.9500000000000028,0,0.1578947368421053,0.2880765883376849
45,45,0.16666666666666666,IL,250/500,0.3333333333333333,0.8114225745710063,FEMALE,MD,protective-serv,yachting,husband,0.0,1.0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,0.7391304347826086,0.6666666666666667,NO,1.0,1.0,Unknown,0.3212121212121212,-1.0481366459627328,0.6058623726254875,Accura,MDX,0.3500000000000085,0,0.10526315789473673,0.3400783289817232
46,46,-0.4166666666666667,IN,100/300,0.0,-0.06529997200715741,FEMALE,Associate,other-service,polo,husband,0.35124378109452736,1.0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,0.4782608695652174,0.6666666666666667,YES,0.5,0.3333333333333333,Unknown,0.0,1.1288819875776397,0.7928041263051956,Honda,Civic,0.9500000000000028,0,0.21052631578947345,1.0
47,47,0.75,OH,500/1000,1.0,0.07086328384810708,MALE,College,other-service,kayaking,husband,0.0,1.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,0.8260869565217391,0.6666666666666667,NO,1.0,0.3333333333333333,NO,0.29277389277389276,-0.07298136645962733,0.6311485721474399,Audi,A3,0.4000000000000057,1,0.0,0.9882506527415144
48,48,-0.3333333333333333,IN,500/1000,0.3333333333333333,-0.5430801595703187,FEMALE,PhD,protective-serv,dancing,other-relative,0.0,1.0,Vehicle Theft,No Collision,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,0.21739130434782608,0.0,Unknown,1.0,0.0,YES,0.03776223776223776,-0.922360248447205,0.07044911309598692,Volkswagen,Passat,0.0,0,0.052631578947368585,0.2857919930374238
49,49,-0.25,IL,100/300,0.3333333333333333,-0.043090978725919285,FEMALE,Masters,exec-managerial,movies,wife,0.0,0.6372637263726373,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,0.8260869565217391,0.0,NO,0.0,0.0,Unknown,0.7142191142191142,0.14130434782608695,0.6736696439803749,Mercedes,C300,0.25,0,0.0,0.7099651871192342
50,50,1.75,OH,250/500,1.0,0.28770828835790463,MALE,MD,other-service,bungie-jumping,own-child,0.0,1.0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,0.8260869565217391,0.6666666666666667,Unknown,0.0,1.0,YES,0.7627039627039627,0.2220496894409938,0.7194615674927664,Nissan,Pathfinder,0.15000000000000568,0,0.21052631578947345,0.4385335073977371
51,51,-0.9166666666666666,IL,100/300,1.0,-0.7481240753993114,FEMALE,JD,farming-fishing,polo,husband,0.0,1.0,Vehicle Theft,No Collision,Trivial Damage,,NY,Arlington,2280 4th Ave,0.17391304347826086,0.0,Unknown,0.5,0.6666666666666666,Unknown,0.06153846153846154,-0.9456521739130435,0.06554283557680211,BMW,M5,0.6500000000000057,0,0.8947368421052633,0.813207136640557
52,52,0.08333333333333333,IN,100/300,0.3333333333333333,1.1232089765579776,MALE,College,armed-forces,basketball,not-in-family,0.0,1.0,Vehicle Theft,No Collision,Minor Damage,,WV,Northbend,2644 Elm Drive,0.34782608695652173,0.0,Unknown,1.0,0.3333333333333333,YES,0.020046620046620046,-0.9813664596273292,0.04239526984526356,Toyota,Corolla,0.25,0,0.8947368421052633,0.5078328981723238
53,53,0.16666666666666666,IN,100/300,0.0,-0.22535223724057965,FEMALE,JD,priv-house-serv,movies,husband,0.8796019900497513,0.5814581458145814,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,0.30434782608695654,0.6666666666666667,YES,0.5,0.0,Unknown,0.5976689976689976,0.9425465838509317,0.5635929047678954,Suburu,Forrestor,0.20000000000000284,0,0.0,0.8266971279373369
54,54,0.08333333333333333,OH,250/500,0.3333333333333333,0.5620426241842651,MALE,PhD,machine-op-inspct,movies,not-in-family,0.47363184079601994,0.6435643564356435,Parked Car,No Collision,Minor Damage,Police,VA,Northbend,5821 2nd St,0.21739130434782608,0.0,NO,0.0,0.3333333333333333,YES,0.022377622377622378,-0.9736024844720497,0.02025412001509624,Ford,F150,0.7000000000000028,0,0.21052631578947345,0.02328111401218451
55,55,-1.0,OH,100/300,0.3333333333333333,0.08262339652654807,MALE,PhD,craft-repair,skydiving,not-in-family,0.7114427860696517,1.0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,0.13043478260869565,0.0,YES,0.5,0.6666666666666666,NO,0.7356643356643356,0.17701863354037267,0.6939237639954712,Chevrolet,Silverado,0.0,0,0.1578947368421053,0.2964534377719756
56,56,1.5,IN,250/500,0.0,-0.7126388573521673,FEMALE,PhD,prof-specialty,chess,unmarried,0.3592039800995025,0.504950495049505,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,0.5217391304347826,0.6666666666666667,Unknown,1.0,1.0,Unknown,0.0,-0.07453416149068323,0.6301421562460687,Honda,CRV,0.9500000000000028,0,0.8947368421052633,0.251414273281114
57,57,-0.5,IN,500/1000,0.3333333333333333,0.6487888211886574,FEMALE,Masters,adm-clerical,hiking,own-child,0.0,1.0,Parked Car,No Collision,Minor Damage,,VA,Riverwood,5418 Britain Ave,0.8260869565217391,0.0,NO,0.5,1.0,NO,0.013986013986013986,-1.0015527950310559,0.0217637438671531,Chevrolet,Silverado,0.9500000000000028,0,0.1578947368421053,0.7709965187119234
58,58,0.08333333333333333,IL,250/500,1.0,0.8754680662657931,MALE,PhD,other-service,yachting,husband,0.56318407960199,0.5877587758775877,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,0.9565217391304348,0.0,YES,0.0,0.3333333333333333,NO,0.3407925407925408,0.08695652173913043,0.6428481570008806,Saab,93,0.6000000000000085,0,0.0,0.8619451697127938
59,59,-0.16666666666666666,OH,250/500,1.0,-1.5807564434339103,FEMALE,MD,adm-clerical,kayaking,own-child,0.9432835820895523,0.4734473447344735,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,0.5217391304347826,0.6666666666666667,NO,0.5,0.3333333333333333,NO,0.5333333333333333,-0.15993788819875776,0.5747892816706504,Ford,Escape,0.25,0,0.0,0.39392950391644904
60,60,-0.3333333333333333,IN,100/300,0.0,-1.8897155012577722,MALE,PhD,machine-op-inspct,base-jumping,other-relative,0.36716417910447763,1.0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,0.6521739130434783,0.6666666666666667,YES,1.0,0.3333333333333333,Unknown,0.7198135198135198,-1.0481366459627328,0.678953327462574,Nissan,Maxima,0.9500000000000028,1,0.8947368421052633,0.9917319408181027
61,61,0.5,IL,500/1000,0.3333333333333333,-0.3614335410911164,MALE,JD,handlers-cleaners,basketball,husband,0.6875621890547264,1.0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,1.0,0.6666666666666667,NO,0.0,1.0,NO,0.34405594405594403,-0.4751552795031056,0.4169077871430369,Honda,Accord,0.10000000000000853,0,0.10526315789473673,0.8511749347258486
62,62,-0.5,IL,500/1000,0.3333333333333333,-1.0772433263862156,MALE,High School,armed-forces,bungie-jumping,unmarried,0.0,0.5544554455445545,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,0.5217391304347826,0.0,NO,0.0,1.0,YES,0.2624708624708625,0.7003105590062112,0.49490501949930815,BMW,M5,0.8000000000000114,0,0.1578947368421053,0.02567449956483899
63,63,0.3333333333333333,OH,500/1000,0.0,2.4274341557987875,MALE,JD,transport-moving,video-games,own-child,0.0,0.5589558955895589,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,0.8695652173913043,0.6666666666666667,YES,1.0,0.6666666666666666,YES,0.5324009324009324,-0.16149068322981366,0.6456158007296515,Suburu,Legacy,0.4000000000000057,1,0.0,0.2515230635335074
